id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239134,Big Moe,Purple Stuff (Remix) (Featuring Project Pat Big Pokey D-Gotti and Ronnie Spencer),Purple World (Explicit),Male/Male,2002,Urban/Western Hip-Hop/Rap/Southern Rap,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
397958363,Hi Power Soldiers,Bring The Drama feat. Malow Mac a Lady Pink's,Hi Power 2007,"",2007,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
341294111,John Legend,Made To Love,Love In The Future,Male/Male,2013,Urban/Contemporary RaB/Soul/Neo-Soul,Defiant/Attitude / Defiant,Medium Tempo/Medium Slow/50s
321227615,Jeremih,Fuck U All The Time Featuring Natasha Mosley,Late Nights with Jeremih,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
318250098,Rihanna,Russian Roulette,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
318249931,Rihanna,Te Amo,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
314761943,Lil Wayne,Mirror,Tha Carter IV (Deluxe Edition),Male/Male Duo,0,Urban/Contemporary RaB/Soul/Neo-Soul,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
314205132,Lil Wayne,Lollipop,Tha Carter III,Male/Male Duo,2008,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/70s
259312389,Kay One,Welcome 2 The Good Life,Rich Kidz (Deluxe Edition),Male/Male,2013,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,"",""
240777521,T.I.,Castle Walls (Featuring Christina Aguilera),No Mercy,Male/Male,2010,Urban/Western Hip-Hop/Rap/Southern Rap,Sensual/Intimate,Slow Tempo/Slow/40s
211266836,Kanye West,Runaway (Ft. Pusha T),My Beautiful Dark Twisted Fantasy,Male/Male,0,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
208875652,2 Chainz a Wiz Khalifa,We Own It (Fast a Furious),The Fast And The Furious Soundtrack Collection,Male/Male Duo,2015,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
176995266,Tinie Tempah,Love Suicide,Disc-Overy,Mixed/Mixed Duo,2011,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
142712557,Rihanna,Only Girl (In The World),Loud,Female/Female,2010,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
129901697,Craig David,Insomnia,Greatest Hits,Male/Male,2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
142711952,Nicki Minaj,Fly,Hello Nicki,Female/Female,0,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,"",""
124574162,Example,Changed The Way You Kiss Me,Playing In The Shadows,Male/Male,2011,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
121731660,Nelly,Liv Tonight,5.0,Male/Male,2010,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Excited/Euphoric Energy,Fast Tempo/Fast/130s
108620009,Keri Hilson,I Like [Jost a Grubert Radio Mix],No Boys Allowed [Bonus Tracks],Female/Female,2011,Urban/Contemporary RaB/Soul/Urban Crossover,Sensual/Intimate,Medium Tempo/Medium Slow/60s
91481981,DJ Paul,Twist It Hit It Lite It,Underground Vol. 16 For Da Summa,Male/Male,2002,Urban/Western Hip-Hop/Rap/Mixtape,Cool/Wary / Defiant,Medium Tempo/Medium/60s
233264026,Rihanna,Unfaithful (Original Version),Good Girl Gone Bad,Female/Female,2007,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
190988028,Example,Perfect Replacement,The Evolution Of Man,Male/Male,2012,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
