id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239166,Muse,Butterflies a Hurricanes,Absolution,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
456239159,Max Richter Daniel Hope Konzerthaus Kammerorchester Berlin André De Ridder,Spring 0,Recomposed By Max Richter: Vivaldi The Four Seasons,"",2014,Classical/Other Classical/General Classical,Somber/Dark Cosmic,Slow Tempo/Very Slow/20s
456239072,Wolfgang Amadeus Mozart,Lacrimosa,1000 Años De Musica Sacra - Vol 4,Male/Male,2003,Classical/Classical Era/Classical Era Instrumental,Somber/Solemn / Spiritual,Slow Tempo/Very Slow/20s
456239049,Heidevolk,Deemstering,Uit Oude Grond,Male/Male Group,2012,Rock/Metal/Black Metal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
430617655,Tarja Turunen,Mystique Voyage,Colours In The Dark,Female/Female,2013,Rock/Metal/Progressive Metal,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
426321071,Of Monsters And Men,Thousand Eyes,Beneath The Skin,Mixed/Mixed Group,2015,Alternative a Punk/Alternative Folk/Alternative Folk,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
414942060,The Radio Dept.,It's Personal,Pet Grief,Male/Male Group,2006,Alternative a Punk/Indie Rock/Dream Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
400471362,Dead Man's Bones,In The Room Where You Sleep,Dead Man's Bones,Male/Male Duo,2009,Alternative a Punk/Indie Rock/Indie Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
340807216,Muse,Butterflies a Hurricanes,Absolution,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
329381325,The Hardkiss,October,Stones and Honey,Mixed/Mixed Group,2014,Electronica/Electronica Mainstream/Pop Electronica,Somber/Enigmatic / Mysterious,Slow Tempo/Very Slow/30s
321415969,Hans Zimmer a James Newton Howard,A Dark Knight,The Dark Knight,Male/Male Duo,2008,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
318484926,Omega,Gyöngyhajú Lány (Pearls In Her Hair),Best Of Omega Vol. 1 1965 - 1975,Male/Male Group,2005,Pop/European Pop/Euro Pop,Somber/Enigmatic / Mysterious,Slow Tempo/Very Slow/30s
312639953,John Murphy,28 Theme,28 Weeks Later,Male/Male,2007,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
311556790,Shelley Harland,Stay,The Girl Who Cried Wolf,Female/Female,2014,Alternative a Punk/Indie Rock/Indie Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
311314330,Dead Can Dance,The Ubiquitous Mr. Lovegrove,Into The Labyrinth,Mixed/Mixed Duo,1993,Alternative a Punk/Indie Rock/Dream Pop,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
295898610,Edvard Grieg,Grieg: Peer Gynt Suite #1 Op. 46 - 4. In The Hall Of The Mountain King,Grieg: Peer Gynt Suites #1 a 2 Piano Concerto,Male/Male,0,Classical/Romantic Era/Romantic Era Instrumental,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
279447253,Muse,Butterflies a Hurricanes,Absolution,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
267513364,Keane,She Has No Time,Hopes a Fears,Male/Male Group,2004,Alternative a Punk/Brit Rock/Brit Rock,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/70s
191995959,Ludovico Einaudi,Time Lapse,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
78386302,Miloš Karadaglić,The Motorcycle Diaries OST - De Ushuaia ala Quiaca,Latino Gold,Male/Male,2014,Classical/Other Classical/Classical Solo Instrumental,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/80s
74970214,Vanessa-Mae,Toccata a Fugue In D Minor,The Violin Player,Female/Female,1995,Classical/Classical Crossover/Classical Crossover Instrumental,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
74910515,Vanessa-Mae,Toccata a Fugue In D Minor,The Violin Player,Female/Female,1995,Classical/Classical Crossover/Classical Crossover Instrumental,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
72638590,Святослав Вакарчук,Чайка,Вночі,Male/Male,2009,Pop/European Pop/Eastern European Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
68757787,Павел Чехов,О любви,Поп музыка,"",2014,Pop/Western Pop/Pop Vocal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
