id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239146,Amy Winehouse,Valerie (Original),Back To Black (Deluxe edition),Female/Female,0,Urban/Classic RaB/Soul/RaB/Soul,Fiery/Fiery Groove,Medium Tempo/Medium Fast/100s
456239043,Jamie N Commons,Worth Your While,Rumble And Sway EP,Male/Male,2013,Urban/Classic RaB/Soul/RaB/Soul,Rowdy/Driving Dark Groove,Medium Tempo/Medium/70s
433248349,John Legend,All Of Me,Love In The Future,Male/Male,2013,Urban/Contemporary RaB/Soul/Neo-Soul,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
429222301,Erykah Badu,Love Hangover (Diana Ross Cover) Live @ BET 2007,Badu Mixtape,Female/Female,2007,Urban/Contemporary RaB/Soul/Neo-Soul,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
406742518,Lionel Richie,Lady (Featuring Kenny Rogers),Lionel Richie - Tuskegee (Deluxe Edition),Male/Male,2012,Urban/Contemporary RaB/Soul/Pop Soul,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
406269942,Sam Smith,I'm Not The Only One,In The Lonely Hour [Deluxe Edition],Male/Male,2014,Urban/Contemporary RaB/Soul/Neo-Soul,Empowering/Idealistic / Stirring,Medium Tempo/Medium/80s
359328325,Pianoбой,Ведьма!,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
345052059,Prince,Kiss,The Hits/The B-Sides [Disc 2],Mixed/Mixed Group,1993,Urban/Classic RaB/Soul/Funk,Energizing/Arousing Groove,Medium Tempo/Medium Fast/110s
334019364,Sunsay,Вiдчувай,Дайвер,Male/Male,2014,Urban/Contemporary RaB/Soul/Urban Crossover,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
328475425,The Neighbourhood,Honest,Honest,Mixed/Mixed Group,2014,Urban/Classic RaB/Soul/Funk,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
328096754,Latimore,You've Still Got The Touch,You're Welcome To Ride,Male/Male,2000,Urban/Classic RaB/Soul/Deep Soul,Romantic/Sweet / Sincere,Medium Tempo/Medium Slow/50s
289164446,The Dukes,Just in Case,Smoke Against the Beat,"",2015,Urban/Contemporary RaB/Soul/Contemporary RaB,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
282219184,Michael Jackson,Workin' Day And Night (Original Demo Recording From 1978),Off The Wall,Male/Male,1979,Urban/Contemporary RaB/Soul/Pop Soul,Other,Medium Tempo/Medium/60s
281304652,羅志祥,Twinkle,SPESHOW,Mixed/Mixed Duo,2007,Urban/Classic RaB/Soul/Classic Soul,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
276588867,Kool a The Gang,Джоанна (feat. Blazin 'Squad),Лучший из Kool a The Gang,Male/Male Group,2014,Urban/Classic RaB/Soul/Funk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
269658748,Caprice,Philomel With Melody,Kywitt ! Kywitt !,"",2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/90s
269658173,Caprice,Kywitt ! Kywitt !,Kywitt ! Kywitt !,"",2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/80s
266971845,Caprice,Dundellion Wine,Kywitt ! Kywitt !,"",2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/90s
264433303,Michael Jackson,Is It Scary,Blood On The Dance Floor: HIStory In The Mix,Male/Male,1997,Urban/Contemporary RaB/Soul/Pop Soul,Lively/Showy / Rousing,Medium Tempo/Medium Fast/100s
256266032,Marvin Gaye,Together We Stand (Divided We Fall),The Master 1961-1984 [Disc 2],Male/Male,1995,Urban/Classic RaB/Soul/Classic Soul,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/100s
216952895,Lionel Richie,How Long,Renaissance,Male/Male,2000,Urban/Contemporary RaB/Soul/Pop Soul,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/100s
215455050,Mariah Carey,Everything Fades Away,Music Box,Female/Female,1993,Urban/Contemporary RaB/Soul/Urban AC,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
210602478,Guru Groove Foundation,Call Me Up,Call Me Up,Mixed/Mixed Group,2013,Urban/Classic RaB/Soul/RaB/Soul,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
210602477,Guru Groove Foundation,Golden Love [Mr. Frenkie Radio Edit],Golden Love (Mr. Frenkie Remix),Mixed/Mixed Group,2015,Urban/Classic RaB/Soul/RaB/Soul,Excited/Euphoric Energy,Fast Tempo/Fast/170s
210602468,Guru Groove Foundation,Tame,Call Me Up,Mixed/Mixed Group,2013,Urban/Classic RaB/Soul/RaB/Soul,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
