id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239119,Sarah Brightman,Gloomy Sunday (Billie Holiday Cover),La Luna,Female/Female,0,Classical/Classical Crossover/Classical Crossover Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
456239093,Kaleo,Way Down We Go,A/B,Male/Male Group,2016,Alternative a Punk/Alternative Folk/Alternative Folk,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
456239082,LP,Lost On You,Lost On You,Female/Female,2016,Rock/Adult Alternative Rock/Adult Alternative Rock,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
456239023,M83,Oblivion,Oblivion - Original Motion Picture Soundtrack,Mixed/Mixed Group,2012,Alternative a Punk/Indie Rock/Dream Pop,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
430252819,Jonah,All We Are,All We Are - EP,Male/Male Group,2015,Electronica/Trance/Trance,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
395678567,James Taylor,Mean Old Man [Live],One Man Band,Male/Male,2007,Rock/70's Rock/Classic Soft Rock,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Fast/90s
355455352,Ludovico Einaudi,Experience,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
361629746,Max Richter,Autumn Music 1,Songs From Before,Male/Male,2006,Classical/Contemporary Era/Contemporary Era Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
314761943,Lil Wayne,Mirror,Tha Carter IV (Deluxe Edition),Male/Male Duo,0,Urban/Contemporary RaB/Soul/Neo-Soul,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
288301904,Linkin Park,Breaking The Habit,Meteora,Male/Male Group,2003,Rock/Metal/Rap Metal,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
278834261,Yann Tiersen,Summer 78 [Instrumental],Good Bye Lenin!,Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
273626151,I Muvrini,Una antra matina,Polyphonies,Male/Male Group,2000,Traditional/European Traditional/French Traditional,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
270269284,The Teen Agers,Please Be Mine (Featuring Frankie Lymon),The Collection - Featuring Frankie Lymon,"",2008,Pop/Western Pop/Pop Vocal,Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
143719901,The Rasmus,Livin' In A World Without You (Acoustic Version),Livin' In A World Without You,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
73541104,Max Richter,Richter: On The Nature Of Daylight,Richter: The Blue Notebooks,Male/Male,2004,Classical/Contemporary Era/Contemporary Era Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
