id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239478,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239477,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239476,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239475,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239473,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239472,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239471,Tengger Cavalry,Dance With the Wolf,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
456239470,Tengger Cavalry,Galloping Towards the Great Land,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
456239469,Tengger Cavalry,Battle Song from Far Away,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239467,Tengger Cavalry,Hymn of the Earth,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239466,Tengger Cavalry,Brave,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239465,Tengger Cavalry,Summon the Warrior,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
456239464,Tengger Cavalry,The Battlefront,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
456239463,Tengger Cavalry,Chant of the Cavalry,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239347,Los Emisarios,Última Generación,Reino,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
456239269,Cover Pop,Video Games (Tribute To Lana Del Rey) [Cover Version],Video Games (Tribute To Lana Del Rey) [Cover Version],"",2011,Pop/Western Pop/Pop Vocal,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239232,Various Artists,Schwarz Rot Gold Sind Wir,Ballermann Hits - Die Fußball Party [Disc 3],"",2010,Pop/Western Pop/Pop Vocal,"",""
456239228,Untergrund,Robophilia,Robophilia,"",2015,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239204,Stoned Cobra,Caskets,Armed and Hammered,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
456239139,Camerton,Bi Mongol hun,Onoodor,"",0,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
456239069,The Psychotic Reaction,I'm Not Ready Yet,Rumble,"",2004,Pop/Western Pop/Pop Vocal,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
423957606,Nik Page,Voices from Outer Space,Rocketqueen,"",2009,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
414711421,HEL,Nordlicht,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414711417,HEL,Welkes Blatt,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414711409,HEL,Immer Eine Nacht,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414711403,HEL,Gedanken,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414711398,HEL,Lenger Enn Erindring,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414711388,HEL,Tief Verborgen,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414710950,HEL,Tiefes Wasser,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414708478,HEL,Nichtort,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
414707889,HEL,Sturmrast,Tristheim,"",2007,Pop/Western Pop/Pop Vocal,"",""
413667118,Emrik,Barnet inom oss,Lögnhalsen,"",2005,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
409420875,Jeffrey Gold,Monastery Theme 1,Monk (Soundtrack From The Motion Picture),"",1997,Pop/Western Pop/Pop Vocal,"",""
406844006,Manntra,Stranci,Venera,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
381398936,ак бүре,Нигә яна йөрәгем?,Изге моңнар,"",2015,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
