id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
435603463,KONAMI,Shot Down in Flames,SILENT HILL ZERO ORIGINAL SOUNDTRACK,Unknown/Other,2008,Soundtrack/Game Music/Game Music,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
424472575,COOLaCREATE,レザマリでもつらくないっ!,drizzly train,Mixed/Mixed Duo,2006,Soundtrack/Game Music/Game Music,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
380292470,Akira Yamaoka,Always On My Mind (vocals by Mary Elizabeth McGlynn),Silent Hill: Shattered Memories (Bonus Soundtrack),Male/Male,2009,Soundtrack/Game Music/Game Music,Sensual/Dreamy Pulse,Slow Tempo/Very Slow/30s
369201181,Tom Holkenborg AKA Junkie XL,Angel Of The Morning,Deadpool (Original Motion Picture Soundtrack) [Bonus Tracks],Male/Male Group,2016,Soundtrack/Game Music/Game Music,"",""
315488066,Darren Korb,The Spine,Transistor Original Soundtrack,Mixed/Mixed Duo,2014,Soundtrack/Game Music/Game Music,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
315487687,Darren Korb,The Spine,Transistor Original Soundtrack,Mixed/Mixed Duo,2014,Soundtrack/Game Music/Game Music,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
310694364,KONAMI,Shot Down in Flames,SILENT HILL ZERO ORIGINAL SOUNDTRACK,Unknown/Other,2008,Soundtrack/Game Music/Game Music,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
307273352,Darren Korb,She Shines (Featuring Ashley Barrett),She Shines (Featuring Ashley Barrett) [Single],Male/Male,2016,Soundtrack/Game Music/Game Music,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/110s
307271736,Darren Korb,Paper Boats,Transistor Original Soundtrack,Mixed/Mixed Duo,2014,Soundtrack/Game Music/Game Music,Urgent/Energetic Anxious,Medium Tempo/Medium/70s
307256059,Akira Yamaoka,When You're Gone,Silent Hill: Shattered Memories,Male/Male,2012,Soundtrack/Game Music/Game Music,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
307239893,Akira Yamaoka,You're Not Here,Silent Hill 3 Soundtrack,Male/Male,2003,Soundtrack/Game Music/Game Music,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
307220715,Akira Yamaoka,You're Not Here,Silent Hill 3 Soundtrack,Male/Male,2003,Soundtrack/Game Music/Game Music,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
93033556,KONAMI,GLITTER,REFLEC BEAT colette ORIGINAL SOUNDTRACK VOL. 1,Unknown/Other,2013,Soundtrack/Game Music/Game Music,"",""
