id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239073,EGOIST,The Everlasting Guilty Crown,The Everlasting Guilty Crown,Mixed/Mixed Group,2012,Soundtrack/Animation/Animation,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239040,Jean-Pierre Taïeb,Running After My Fate Featuring Anna He [Crucifying Myself],The Divide,"",0,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
367138318,Tom Holkenborg AKA Junkie XL,Angel Of The Morning,Deadpool (Original Motion Picture Soundtrack) [Bonus Tracks],Male/Male Group,2016,Soundtrack/Game Music/Game Music,"",""
323698632,John Murphy,Don Abandons Alice,28 Weeks Later,Male/Male,2007,Soundtrack/Original Film/TV Music/General Film Music,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
289931850,John Ottman,Hope (Xavier's Theme),X-Men: Days of Future Past (Original Motion Picture Soundtrack),Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
278834261,Yann Tiersen,Summer 78 [Instrumental],Good Bye Lenin!,Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
181015535,Tykwer Klimek a Heil,Cloud Atlas Opening Title,Cloud Atlas,Male/Male,2012,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/70s
180258156,Tykwer Klimek a Heil,Cloud Atlas Opening Title,Cloud Atlas,Male/Male,2012,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/70s
98641062,Various Artists,Someone To Fall Back On,Bandslam,Mixed/Mixed Group,2009,Soundtrack/Original Film/TV Music/Musical Film/TV Music,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/100s
155034832,David Arnold a Michael Price,SHERlocked,Sherlock: Series Two,"",2012,Soundtrack/Original Film/TV Music/General Film Music,Serious/Thrilling,Medium Tempo/Medium/60s
148725570,Shiro Sagisu Music,Return To Ash =3em23=,Evangelion3.0,"",2012,Soundtrack/Original Film/TV Music/General Film Music,"",""
143097456,Clint Mansell,Leaving New York,World Traveler OST,Male/Male,2002,Soundtrack/Original Film/TV Music/General Film Music,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
127502334,Craig Armstrong,Main Title,The Incredible Hulk,Male/Male,2013,Soundtrack/Original Film/TV Music/General Film Music,Serious/Thrilling,Medium Tempo/Medium/60s
120538888,Steve Jablonsky,Forest Battle,Transformers: Revenge Of The Fallen - The Score,Male/Male,2009,Soundtrack/Original Film/TV Music/General Film Music,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
106630039,Marcelo Zabros,Craig Worries,Remember Me (Original Motion Picture Score),"",2010,Soundtrack/Original Film/TV Music/General Film Music,Peaceful/Reverent / Healing,Medium Tempo/Medium/60s
96459682,Various Artists,Gonna Wanna,Les Chevaliers Du Ciel,"",2005,Soundtrack/Original Film/TV Music/General Film Music,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/100s
91833724,Daft Punk,Tron Legacy (End Titles),TRON: Legacy,Male/Male Duo,2010,Soundtrack/Original Film/TV Music/Sci-Fi Film/TV Music,Excited/Euphoric Energy,Fast Tempo/Very Fast/200s
84504561,Carter Burwell,Phascination Phase,Twilight: The Score,Male/Male,2008,Soundtrack/Original Film/TV Music/General Film Music,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
84504502,Carter Burwell,I Know What You Are,Twilight: The Score,Male/Male,2008,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
84431484,Carter Burwell,The Lion Fell In Love With The Lamb,Twilight [The Score],Male/Male,2008,Soundtrack/Original Film/TV Music/General Film Music,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
